iter	Passed	Remaining
621	13354	12409
622	13379	12391
623	13405	12374
624	13431	12357
625	13456	12338
626	13480	12319
627	13504	12299
628	13527	12279
629	13550	12260
630	13574	12240
631	13596	12219
632	13619	12199
633	13642	12179
634	13664	12158
635	13688	12139
636	13712	12119
637	13735	12099
638	13757	12077
639	13778	12055
640	13803	12037
641	13827	12018
642	13850	11998
643	13874	11978
644	13897	11957
645	13920	11937
646	13943	11917
647	13966	11897
648	13989	11876
649	14012	11857
650	14036	11837
651	14059	11816
652	14082	11796
653	14105	11776
654	14129	11756
655	14152	11736
656	14175	11716
657	14199	11696
658	14222	11676
659	14247	11656
660	14271	11637
661	14294	11616
662	14320	11598
663	14345	11580
664	14371	11561
665	14394	11541
666	14417	11521
667	14441	11500
668	14463	11480
669	14486	11459
670	14510	11439
671	14532	11418
672	14556	11398
673	14579	11378
674	14602	11357
675	14625	11336
676	14648	11316
677	14671	11295
678	14696	11276
679	14721	11257
680	14744	11236
681	14766	11215
682	14790	11195
683	14815	11176
684	14841	11158
685	14864	11137
686	14888	11117
687	14914	11098
688	14937	11078
689	14960	11058
690	14985	11038
691	15008	11017
692	15031	10996
693	15054	10976
694	15078	10955
695	15100	10935
696	15124	10914
697	15147	10893
698	15171	10873
699	15195	10853
700	15218	10833
701	15242	10812
702	15266	10792
703	15290	10772
704	15318	10755
705	15345	10737
706	15370	10717
707	15394	10697
708	15417	10676
709	15441	10656
710	15464	10636
711	15487	10615
712	15509	10593
713	15534	10573
714	15557	10552
715	15581	10532
716	15605	10512
717	15633	10494
718	15666	10480
719	15699	10466
720	15730	10450
721	15758	10432
722	15781	10411
723	15812	10395
724	15838	10376
725	15864	10357
726	15888	10337
727	15915	10318
728	15938	10297
729	15964	10278
730	15987	10257
731	16013	10237
732	16038	10218
733	16063	10198
734	16086	10177
735	16110	10156
736	16133	10135
737	16156	10114
738	16180	10093
739	16203	10072
740	16226	10051
741	16250	10030
742	16273	10009
743	16298	9989
744	16324	9970
745	16351	9951
746	16374	9929
747	16395	9907
748	16417	9885
749	16439	9863
750	16461	9842
751	16484	9820
752	16506	9798
753	16528	9776
754	16550	9754
755	16572	9732
756	16594	9710
757	16616	9689
758	16641	9669
759	16663	9647
760	16686	9625
761	16709	9604
762	16732	9583
763	16759	9564
764	16780	9542
765	16803	9520
766	16824	9497
767	16846	9475
768	16868	9454
769	16889	9432
770	16913	9411
771	16935	9388
772	16956	9366
