Giocatore,Index,Avversario,Campo,Top
Darryl Bakola,64.9,juventus,casa,
Seydou Fini,64.7,frosinone,casa,
Alessio Zerbin,64.4,genoa,trasf.,
Patrizio Masini,64.1,frosinone,casa,
Kevin De Bruyne,64.0,bologna,casa,
Arthur Atta,63.9,inter,trasf.,
Maxence Caqueret,63.9,parma,casa,
Matteo Cichella,63.8,genoa,trasf.,
Yunus Musah,63.8,lazio,trasf.,
Douglas Luiz,63.7,sassuolo,trasf.,
Cesare Casadei,63.5,roma,casa,
Morten Frendrup,63.5,frosinone,casa,
Tommaso Baldanzi,63.2,frosinone,casa,
Jacopo Fazzini,63.0,venezia,trasf.,
Toma Basic,62.8,milan,casa,
Kouadio Kone,62.6,torino,trasf.,
Niccolò Pisilli,62.5,torino,trasf.,
Albert Gudmundsson,62.2,venezia,trasf.,
Luis Henrique,62.1,udinese,casa,
Petar Sucic,62.0,udinese,casa,
Lazar Samardzic,61.7,cagliari,casa,
Kenneth Taylor,61.6,milan,casa,
Nicolo Fagioli,61.4,venezia,trasf.,
Adrián Bernabé,61.3,como,trasf.,
Reda Belahyane,61.3,milan,casa,
Alieu Fadera,61.2,juventus,casa,
Ndary Adopo,61.2,atalanta,trasf.,
Michael Folorunsho,61.2,atalanta,trasf.,
Jakub Piotrowski,61.2,inter,trasf.,
Gianluca Gaetano,61.2,atalanta,trasf.,
Tommaso Pobega,60.9,napoli,trasf.,
Alessandro Deiola,60.8,atalanta,trasf.,
Nicolo Rovella,60.7,milan,casa,
Mikael Ellertsson,60.7,frosinone,casa,
Emirhan Ilkhan,60.6,roma,casa,
Antonio Vergara,60.5,bologna,casa,
Mario Pasalic,60.4,cagliari,casa,
Fisayo Dele-Bashiru,60.3,milan,casa,
Weston McKennie,60.2,sassuolo,trasf.,
Jens Odgaard,60.1,napoli,trasf.,
Roberto Gagliardini,60.1,atalanta,trasf.,
Samuele Ricci,60.1,lazio,trasf.,
Gvidas Gineitis,60.0,roma,casa,
Pontus Almqvist,59.9,como,trasf.,
Stanislav Lobotka,59.7,bologna,casa,
Billy Gilmour,59.7,bologna,casa,
Nicolò Cambiaghi,59.5,napoli,trasf.,
Scott McTominay,58.8,bologna,casa,
Ethan Meichtry,58.7,frosinone,casa,
Franck Zambo,58.6,bologna,casa,
Zakaria Aboukhlal,58.6,roma,casa,
Oier Zarraga,58.5,inter,trasf.,
Ivan Ilic,58.4,roma,casa,
Benjamín Cremaschi,58.4,como,trasf.,
Medon Berisha,58.0,monza,casa,
Eljif Elmas,57.9,bologna,casa,
Unai Gómez,57.6,inter,trasf.,
Ruben Loftus-Cheek,57.4,lazio,trasf.,
Mathis Mout,57.4,lecce,trasf.,
Youssef Maleh,57.4,monza,casa,
Mattia Felici,57.1,atalanta,trasf.,
Christian Ordóñez,56.9,como,trasf.,
Luca Lipani,56.7,juventus,casa,
Alex Amorim,56.1,frosinone,casa,
Romano Schmid,55.9,genoa,trasf.,
Oumar Ngom,55.7,monza,casa,
Manuel Locatelli,55.0,sassuolo,trasf.,
Kerim-Sam Alajbegovic,54.9,sassuolo,trasf.,
Olaf Gorter,54.9,monza,casa,
Diego Moreira,54.8,lazio,trasf.,
Edon Zhegrova,54.8,sassuolo,trasf.,
Lennon Miller,53.8,inter,trasf.,
Cher Ndour,53.7,venezia,trasf.,
Christ Inao Oulaï,53.5,venezia,trasf.,
Marten de Roon,53.1,cagliari,casa,
Ardon Jashari,53.0,lazio,trasf.,
Matteo Dagasso,52.9,fiorentina,casa,
Oliver Sørensen,52.8,como,trasf.,
Omri Gandelman,52.6,monza,casa,
Edoardo Iannoni,52.5,juventus,casa,
Matteo Guendouzi,52.2,milan,casa,
Christian Kabasele,52.2,inter,trasf.,
Riyad Idrissi,52.0,atalanta,trasf.,
Lorenzo Pellegrini,51.9,torino,trasf.,
Giovanni Fabbian,51.8,como,trasf.,
Danilo Cataldi,51.7,milan,casa,
Ylber Ramadani,51.6,monza,casa,
Sergi Roberto,51.6,parma,casa,
Nahuel Estévez,51.5,como,trasf.,
Marco Brescianini,51.3,venezia,trasf.,
Filip Kostic,51.2,sassuolo,trasf.,
Joseph Liteta,51.2,atalanta,trasf.,
Kristjan Asllani,51.0,roma,casa,
Remo Freuler,50.8,napoli,trasf.,
Stephan El Shaarawy,50.5,torino,trasf.,
Mikel Amondarain,50.4,napoli,trasf.,
Luca Mazzitelli,50.2,atalanta,trasf.,
Jack Harrison,50.2,venezia,trasf.,
Simon Sohm,50.0,fiorentina,casa,
Hernani,49.8,como,trasf.,
Henrikh Mkhitaryan,49.8,udinese,casa,
Adrien Tameze,49.7,roma,casa,
Riccardo Sottil,49.7,monza,casa,
Christian Pulisic,49.4,lazio,trasf.,
Youssouf Fofana,49.3,lazio,trasf.,
Ruslan Malinovskiy,49.3,frosinone,casa,
Ismaël Koné,49.2,juventus,casa,
Alex Sala,49.1,monza,casa,
Faustino Anjorin,48.7,roma,casa,
Neil El Aynaoui,48.5,torino,trasf.,
Kephren Thuram,48.5,sassuolo,trasf.,
Fabio Miretti,48.4,sassuolo,trasf.,
Aster Vranckx,47.9,juventus,casa,
Abdelhamid Sabiri,47.8,venezia,trasf.,
Daniel Boloca,47.8,juventus,casa,
Gaetano Oristanio,47.6,como,trasf.,
Thórir Helgason,47.5,monza,casa,
Albert Grønbæk,47.2,frosinone,casa,
Jacob Ondrejka,46.7,como,trasf.,
Nicolae Stanciu,45.8,frosinone,casa,
Amir Richardson,44.6,venezia,trasf.,
Maxwel Cornet,42.9,frosinone,casa,
