Giocatore,Index,Avversario,Campo,Top
honest ahanor,66.8,roma,trasf.,
jeandaniel akpaakpro,66.7,milan,casa,
alessandro marcandalli,66.5,pisa,trasf.,
bremer,66.2,bologna,casa,
domagoj bradaric,66.0,milan,casa,
stefano sabelli,65.7,pisa,trasf.,
enzo ebosse,65.7,milan,casa,
martin vitik,65.4,juventus,trasf.,
tarik muharemovic,65.3,como,casa,
nicolo casale,65.1,juventus,trasf.,
samuele angori,64.7,genoa,casa,
guillermo maripan,64.6,cremonese,trasf.,
matteo bianchetti,64.6,torino,casa,
jhon lucumi,64.4,juventus,trasf.,
daniele ghilardi,64.4,atalanta,casa,
arturo calabresi,64.4,genoa,casa,
alessio romagnoli,64.3,napoli,trasf.,
mathias olivera,63.8,lazio,casa,
odilon kossounou,63.7,roma,trasf.,
ardian ismajli,63.7,cremonese,trasf.,
sascha britschgi,63.6,udinese,trasf.,
giuseppe pezzella,63.6,torino,casa,
jamil siebert,63.5,fiorentina,casa,
nuno tavares,63.4,napoli,trasf.,
marin pongracic,63.3,lecce,trasf.,
tommaso barbieri,63.3,torino,casa,
angelino,63.3,atalanta,casa,
mario hermoso,63.2,atalanta,casa,
estupinan,63.2,verona,trasf.,
andrea cambiaso,63.2,bologna,casa,
fikayo tomori,63.0,verona,trasf.,
juan miranda,63.0,juventus,trasf.,
raoul bellanova,63.0,roma,trasf.,
jay idzes,62.6,como,casa,
oliver provstgaard,62.5,napoli,trasf.,
federico gatti,62.5,bologna,casa,
juan arizala,62.5,parma,casa,
josh doig,62.3,como,casa,
corrie ndaba,62.3,fiorentina,casa,
danilo veiga,62.2,fiorentina,casa,
emanuele valeri,62.0,udinese,trasf.,
raul albiol,61.9,genoa,casa,
saul coco,61.4,cremonese,trasf.,
enrico del prato,61.4,udinese,trasf.,
konstantinos tsimikas,61.3,atalanta,casa,
woyo coulibaly,61.3,como,casa,
luca ranieri,61.0,lecce,trasf.,
ivan smolcic,60.7,sassuolo,trasf.,
filippo romagna,60.5,como,casa,
daniel oyegoke,60.3,milan,casa,
berat gjimshiti,60.3,roma,trasf.,
nicolas valentini,60.2,milan,casa,
daniele rugani,59.4,bologna,casa,
federico ceccherini,59.4,torino,casa,
manuel lazzari,59.1,napoli,trasf.,
nadir zortea,59.1,juventus,trasf.,
pasquale mazzocchi,58.6,lazio,casa,
mariano troilo,58.6,udinese,trasf.,
valentino lazaro,58.4,cremonese,trasf.,
stefan de vrij,58.4,cagliari,casa,
juan rodriguez,58.2,inter,trasf.,
francesco folino,58.2,torino,casa,
sead kolasinac,58.0,roma,trasf.,
matteo gabbia,57.8,verona,trasf.,
lautaro valenti,57.8,udinese,trasf.,
alessandro circati,57.1,udinese,trasf.,
nicolo bertola,57.1,parma,casa,
torbjorn heggem,56.9,juventus,trasf.,
rui modesto,56.8,parma,casa,
tiago gabriel,56.8,fiorentina,casa,
gabriele zappa,56.8,inter,trasf.,
adam masina,56.5,cremonese,trasf.,
kingsley ehizibue,56.2,parma,casa,
jan ziolkowski,55.9,atalanta,casa,
juan cabal,55.6,bologna,casa,
eddy kouadio,55.0,lecce,trasf.,
juan cuadrado,54.7,genoa,casa,
lorenzo de silvestri,54.6,juventus,trasf.,
fallou cham,54.5,milan,casa,
sebastian walukiewicz,54.4,como,casa,
alberto dossena,54.2,inter,trasf.,
mikayil faye,54.1,torino,casa,
sebastian otoa,54.1,pisa,trasf.,
tobias slotsager,53.8,milan,casa,
saba goglichidze,53.8,parma,casa,
niels nkounkou,53.8,cremonese,trasf.,
mathias lovik,53.8,udinese,trasf.,
elseid hysaj,53.7,napoli,trasf.,
gaby jean,53.7,fiorentina,casa,
niakhate ndiaye,53.6,udinese,trasf.,
francesco coppola,53.6,genoa,casa,
cristiano biraghi,52.7,cremonese,trasf.,
mattia viti,52.5,lecce,trasf.,
rosen bozhinov,52.2,genoa,casa,
owen kouassi,52.0,fiorentina,casa,
matteo palma,51.9,parma,casa,
pablo mari,51.5,lecce,trasf.,
alessandro di pardo,51.3,inter,trasf.,
mateus lusuardi,51.1,genoa,casa,
giovanni bonfanti,50.7,genoa,casa,
matias perez,50.7,fiorentina,casa,
valentin carboni,50.7,pisa,trasf.,
pol lirola,49.6,milan,casa,
