h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,team_id,team_name,xG_last5_mean,xGA_last5_mean,xG_h,xG_a,xGA_h,xGA_a
h,2.11324,0.743486,2.11324,0.743486,"{'att': 385, 'def': 32}","{'att': 235, 'def': 25}",13,6,1,0,2.3868,w,2026-08-30 18:45:00,1,0,0,3,1.369754,96,Lazio,0.805148,2.0643,2.11324,0.0,0.743486,0.0
a,1.97943,0.797693,1.97943,0.797693,"{'att': 212, 'def': 18}","{'att': 324, 'def': 27}",10,8,2,1,2.2729,w,2026-09-07 18:45:00,1,0,0,3,1.181737,96,Lazio,1.4591939999999999,1.4038929999999998,0.0,1.97943,0.0,0.797693
a,2.45246,3.19474,2.45246,3.19474,"{'att': 394, 'def': 21}","{'att': 115, 'def': 21}",5,4,2,0,0.9288,w,2026-08-23 16:30:00,1,0,0,3,-0.74228,243,Lecce,,,0.0,2.45246,0.0,3.19474
h,1.20256,4.13617,1.20256,4.13617,"{'att': 416, 'def': 19}","{'att': 221, 'def': 34}",1,20,0,4,0.0998,l,2026-08-31 16:30:00,0,0,1,0,-2.93361,243,Lecce,2.45246,3.19474,1.20256,0.0,4.13617,0.0
a,0.445912,1.92177,0.445912,1.92177,"{'att': 201, 'def': 22}","{'att': 328, 'def': 17}",6,2,0,1,0.36019999999999996,l,2026-09-07 16:00:00,0,0,1,0,-1.4758580000000001,243,Lecce,1.82751,3.6654549999999997,0.0,0.445912,0.0,1.92177
a,1.21666,1.5385,1.21666,1.5385,"{'att': 492, 'def': 26}","{'att': 180, 'def': 15}",1,9,1,4,1.1043999999999998,l,2026-08-22 16:30:00,0,0,1,0,-0.3218399999999999,271,Monza,,,0.0,1.21666,0.0,1.5385
h,1.89797,1.02273,1.89797,1.02273,"{'att': 243, 'def': 17}","{'att': 229, 'def': 17}",6,8,2,3,2.0464999999999995,l,2026-08-29 16:30:00,0,0,1,0,0.87524,271,Monza,1.21666,1.5385,1.89797,0.0,1.02273,0.0
a,2.10415,0.622609,2.10415,0.622609,"{'att': 210, 'def': 16}","{'att': 211, 'def': 16}",3,9,1,1,2.4518,d,2026-09-06 13:00:00,0,1,0,1,1.4815410000000002,271,Monza,1.557315,1.280615,0.0,2.10415,0.0,0.622609
a,1.15739,0.500846,1.15739,0.500846,"{'att': 260, 'def': 27}","{'att': 228, 'def': 15}",17,4,2,0,1.9599,w,2026-08-22 18:45:00,1,0,0,3,0.6565439999999999,105,Napoli,,,0.0,1.15739,0.0,0.500846
h,1.03232,1.0975,1.03232,1.0975,"{'att': 357, 'def': 17}","{'att': 228, 'def': 19}",14,13,1,2,1.3266,l,2026-08-30 16:30:00,0,0,1,0,-0.06518000000000002,105,Napoli,1.15739,0.500846,1.03232,0.0,1.0975,0.0
a,2.32276,3.7848,2.32276,3.7848,"{'att': 265, 'def': 13}","{'att': 172, 'def': 25}",8,15,2,3,0.5499,l,2026-09-05 16:00:00,0,0,1,0,-1.46204,105,Napoli,1.094855,0.7991729999999999,0.0,2.32276,0.0,3.7848
h,1.02972,1.2574,1.02972,1.2574,"{'att': 316, 'def': 26}","{'att': 308, 'def': 33}",7,5,0,1,1.1863000000000001,l,2026-08-22 18:45:00,0,0,1,0,-0.2276800000000001,230,Parma Calcio 1913,,,1.02972,0.0,1.2574,0.0
a,0.200754,1.82242,0.200754,1.82242,"{'att': 209, 'def': 12}","{'att': 259, 'def': 41}",4,16,0,2,0.22490000000000002,l,2026-08-29 18:45:00,0,0,1,0,-1.6216659999999998,230,Parma Calcio 1913,1.02972,1.2574,0.0,0.200754,0.0,1.82242
