,id,isResult,side,h,a,goals,xG,datetime,forecast,result,season,team
14465,9828,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '0'}","{'h': '0.875606', 'a': '1.10955'}",2019-03-03 11:30:00,"{'w': 0.2852406584639378, 'd': 0.30693955386899374, 'l': 0.40781978766573485}",l,2022,Chievo
14466,9838,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '2'}","{'h': '0.263355', 'a': '1.70597'}",2019-03-09 19:30:00,"{'w': 0.05176207577465915, 'd': 0.2096515419951174, 'l': 0.7385863817616373}",l,2022,Chievo
14467,9847,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '1', 'a': '1'}","{'h': '1.50473', 'a': '0.758033'}",2019-03-17 14:00:00,"{'w': 0.5504225907633891, 'd': 0.2612175364460239, 'l': 0.18835987270457963}",d,2022,Chievo
14468,9858,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '0', 'a': '3'}","{'h': '0.858272', 'a': '1.05607'}",2019-03-29 19:30:00,"{'w': 0.29007385025490556, 'd': 0.31458777412836403, 'l': 0.39533837561605034}",l,2022,Chievo
14469,9874,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '4', 'a': '0'}","{'h': '2.1616', 'a': '1.46618'}",2019-04-04 18:00:00,"{'w': 0.5348405282539418, 'd': 0.20633246325619392, 'l': 0.25882699774402035}",l,2022,Chievo
14470,9877,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '3', 'a': '0'}","{'h': '3.1019', 'a': '0.672578'}",2019-04-08 19:30:00,"{'w': 0.8472415121846574, 'd': 0.1024087751364432, 'l': 0.0503487057968162}",l,2022,Chievo
14471,9888,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '0.172953', 'a': '1.45817'}",2019-04-14 17:00:00,"{'w': 0.041668682678343415, 'd': 0.24826712728598194, 'l': 0.7100641899796215}",l,2022,Chievo
14472,9902,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'h': '1', 'a': '2'}","{'h': '1.6363', 'a': '1.18465'}",2019-04-20 14:00:00,"{'w': 0.47896947302785087, 'd': 0.2445501538820065, 'l': 0.27648037281942633}",w,2022,Chievo
14473,9914,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'h': '1', 'a': '1'}","{'h': '0.897173', 'a': '0.459969'}",2019-04-28 14:00:00,"{'w': 0.44397995199224866, 'd': 0.37508928895019916, 'l': 0.1809307590574871}",d,2022,Chievo
14474,9917,True,h,"{'id': '109', 'title': 'Chievo', 'short_title': 'CHI'}","{'id': '221', 'title': 'SPAL 2013', 'short_title': 'SPL'}","{'h': '0', 'a': '4'}","{'h': '0.575305', 'a': '2.14921'}",2019-05-04 17:00:00,"{'w': 0.08569914712006052, 'd': 0.17544922253316173, 'l': 0.7388516204305742}",l,2022,Chievo
