Giocatore,Index,Avversario,Campo,Top
morten frendrup,64.6,pisa,trasf.,
jakub piotrowski,64.3,parma,casa,
alieu fadera,64.0,como,casa,
jack harrison,63.8,lecce,trasf.,
simon sohm,63.6,lecce,trasf.,
jesper karlstrom,63.5,parma,casa,
niccolo pisilli,63.2,atalanta,casa,
kenneth taylor,63.2,napoli,trasf.,
faustino anjorin,63.2,cremonese,trasf.,
gabriele piccinini,63.1,genoa,casa,
fisayo delebashiru,63.1,napoli,trasf.,
kevin de bruyne,63.0,lazio,casa,
danilo cataldi,62.6,napoli,trasf.,
giovanni fabbian,62.5,lecce,trasf.,
hans caviglia,62.5,udinese,trasf.,
billy gilmour,62.2,lazio,casa,
nahuel estevez,61.8,udinese,trasf.,
matteo prati,61.6,cremonese,trasf.,
sergi roberto,61.5,sassuolo,trasf.,
jens odgaard,61.3,juventus,trasf.,
warren bondo,61.1,torino,casa,
lennon miller,61.0,parma,casa,
roberto gagliardini,61.0,milan,casa,
oliver sorensen,60.8,udinese,trasf.,
oumar ngom,60.8,fiorentina,casa,
abdelhamid sabiri,60.6,lecce,trasf.,
ruslan malinovskiy,60.5,pisa,trasf.,
davide frattesi,60.5,cagliari,casa,
nicolae stanciu,60.5,pisa,trasf.,
teun koopmeiners,60.4,bologna,casa,
edon zhegrova,60.3,bologna,casa,
neil el aynaoui,60.2,atalanta,casa,
mandela keita,60.2,udinese,trasf.,
fabio miretti,60.1,bologna,casa,
cheikh niasse,60.0,milan,casa,
tommaso pobega,60.0,juventus,trasf.,
patrizio masini,59.9,pisa,trasf.,
al musrati,58.7,milan,casa,
christian ordonez,58.6,udinese,trasf.,
yunus musah,58.6,roma,trasf.,
calvin stengs,58.5,genoa,casa,
luca lipani,58.5,como,casa,
jacob ondrejka,58.0,udinese,trasf.,
andy diouf,57.8,cagliari,casa,
kristjan asllani,57.0,cremonese,trasf.,
lorenzo venturino,57.0,atalanta,casa,
joseph liteta,57.0,inter,trasf.,
edoardo iannoni,56.9,como,casa,
oier zarraga,56.7,parma,casa,
ivan ilic,56.4,cremonese,trasf.,
reda belahyane,56.2,napoli,trasf.,
amir richardson,56.1,lecce,trasf.,
martin payero,55.6,torino,casa,
seydou fini,54.2,pisa,trasf.,
adrien tameze,54.1,cremonese,trasf.,
filip kostic,53.7,bologna,casa,
jeremy sarmiento,53.6,torino,casa,
hernani,53.2,udinese,trasf.,
olaf gorter,53.0,fiorentina,casa,
alex sala,52.3,fiorentina,casa,
thorir helgason,52.0,fiorentina,casa,
lorran,51.9,genoa,casa,
grigoris kastanos,51.7,milan,casa,
isak vural,51.4,genoa,casa,
