player,match_id,sum_xG,goals,season,date,minutes_played,games,time,goals_total,xG,assists,xA,shots,key_passes,position,player_team,npg,npxG,xGChain,xGBuildup,opponent_team,shots_per90,xG_per90,goals_per90,is_goals,xG_last5,shots_last5,goals_last5,xG_cummean,minutes_played_last5,finishing_efficiency,finishing_efficiency_hist,shots_hist,finishing_eff_weighted,finishing_form
remo freuler,3650,0.0,0.0,2016,2017-04-08,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,Sassuolo,1.21,0.16,0.17,0,0.07745893821120257,35.0,0.2,0.10347133816685525,83.8,0.0,0.8779257176867001,940.0,0.8779257176867001,0.5512164206968381
remo freuler,3652,0.0,0.0,2016,2017-04-15,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,Roma,1.21,0.16,0.17,0,0.07745893821120257,35.0,0.2,0.10033584307088994,89.6,0.0,0.791120914068815,975.0,0.791120914068815,0.5419900957022422
remo freuler,3662,0.3448179960250854,1.0,2016,2017-04-22,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,Bologna,1.21,0.16,0.17,1,0.06449545845389362,35.0,0.2,0.09738478886292258,90.0,2.899996553433128,0.7131823713781726,1010.0,0.7131823713781726,0.8530960756185273
remo freuler,3674,1.5786199569702148,1.0,2016,2017-04-28,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,Juventus,1.21,0.16,0.17,1,0.10433605834841723,35.0,0.2,0.10445430906755582,87.4,0.6334606761924433,0.9279158647642826,1045.0,0.9279158647642826,0.9310138149232614
remo freuler,3697,0.0,0.0,2016,2017-05-13,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,AC Milan,1.21,0.16,0.17,0,0.4166601896286011,35.0,0.4,0.14540335484262967,72.8,0.0,0.8990871693199455,1080.0,0.8990871693199455,0.5533682472930218
remo freuler,3702,0.070516899228096,0.0,2016,2017-05-21,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,Empoli,1.21,0.16,0.17,0,0.38468759059906005,35.0,0.4,0.14147353444147753,88.8,0.0,0.8112960047968155,1115.0,0.8112960047968155,0.7688407648318825
remo freuler,3712,0.0,0.0,2016,2017-05-27,90,33.0,2608.0,5.0,4.739317879080772,4.0,4.101816474460065,35.0,52.0,M S,Atalanta,5.0,4.739317879080772,17.9122666567564,12.079486748203635,Chievo,1.21,0.16,0.17,0,0.39879097044467926,35.0,0.4,0.13960625456744116,87.0,0.0,0.7322673853909191,1150.0,0.7322673853909191,0.53488612022717
remo freuler,7501,0.0,0.0,2017,2017-08-20,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Roma,1.23,0.13,0.15,0,0.39879097044467926,35.0,0.4,0.13602660701442984,90.0,0.0,0.6610915818889057,1185.0,0.6610915818889057,0.5254239786192937
remo freuler,7514,0.0399672016501426,0.0,2017,2017-08-27,90,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Napoli,1.23,0.13,0.15,0,0.32982737123966216,36.2,0.2,0.13262594183906912,87.4,0.0,0.5969597786308704,1226.0,0.5969597786308704,0.6989211389942421
remo freuler,7529,0.0,0.0,2017,2017-09-17,69,35.0,3008.0,5.0,4.372192237526178,3.0,3.8672938253730536,41.0,48.0,M S,Atalanta,5.0,4.372192237526178,18.179162073880438,12.724869599565864,Chievo,1.23,0.13,0.15,0,0.022096820175647718,37.4,0.0,0.13036597256616847,77.0,0.0,0.539151704533481,1267.0,0.539151704533481,0.5074233104722228
